순대,떡볶이,어묵,튀김,커피,차차,과일,아이스,빠앙,쿠키,샌드위치,마카롱
순대의 간이 적당한 거 같아,쌀 떡볶이랑 밀 떡볶이 둘 다 좋아,국물이 따뜻해서 좋아,간장에 찍어 먹으니 맛있는 거 같아,따뜻한 아메리카노에서 커피 향이 더 진하게 느껴져,녹차가 진하게 우려진 거 같아,딸기의 달콤하고 상큼함이 느껴져,요거트 맛은 단것 같으면서도 신맛이 느껴져,팥앙금이 달달해서 좋아,초콜릿 칩이 많이 박혀있어서 좋아,닭가슴살 샌드위치는 포만감에 좋은 거 같아,겉 부분 바삭하고 안은 촉촉한 느낌이야
허파랑 간도 맛있어,적당히 매워서 맛있는 거 같아,어묵에 간장을 찍어 먹으니 더 맛있는 거 같아,떡볶이 국물에 찍어 먹으니 맛있는 거 같아,바닐라 시럽을 추가해서 마시니까 달달해서 좋아,따뜻한 홍차를 마시니 좋네,시원해서 좋아. 건강해지는 기분이야,초콜릿의 달달함이 느껴져. 정말 맛있어,상큼한 딸기 크림의 맛이 느껴져,일반 초코쿠키와 다르게 화이트 초콜릿 칩이 박혀있어,베이컨의 짭조름함이 느껴져,맛있지만 정말 달아
소금에 찍어 먹어도 좋고 떡볶이 국물에 찍어 먹어도 좋아,(맛있게 먹고 있다),다양한 모양의 어묵이 있어,그냥 먹어도 맛있는 거 같아,헤이즐넛 향이 은은하게 느껴져,차를 마시면 몸이 편해지는 기분이야,오렌지가 너무 신 거 같아. 침이 고이네,딸기랑 초콜릿의 궁합은 정말 잘 맞는 거 같아,부드러운 슈크림이 들어있어. 정말 부드러워,건포도의 씹히는 맛이 좋은 거 같아,슬라이드 치즈가 짜면서도 고소해,초코맛이라서 더 단 거 같아
저번에 손이 미끄러져서 소금 범벅이 된 적이 있었어 ..정말 짰어,떡볶이 국물이 생각보다 맵지만 맛있어,(급히 먹다 혀에 데인 것 같다. 아무렇지 않은 척을 하고 있다),바삭한 식감이 살아있어,라떼를 마시니까 커피가 더 부드러운 거 같아,고소한 율무차의 맛이 느껴져,바나나로 마시니까 포만감이 더 느껴지는 거 같아,여름에 먹는 간식을 생각하면 당연히 아이스크림이 떠올라,달콤한 초코 크림이 들어있어. 역시 단 것은 맛있어,고소한 오트밀 맛이 느껴져,햄이랑 치즈랑 같이 있으니까 더 맛있는 거 같아,딸기라서 상큼할 줄 알았는데 적당히 달콤해
간을 계속 먹으니 퍽퍽한 거 같아,(우물우물),앗 뜨거워 ..조심해서 먹어야겠어,(입안에서 바삭거리는 소리가 난다),많이 마시면 밤에 못 자니까 적당히 마셔야 해,레몬차는 감기에 좋다고 해,키위는 신맛도 있고 단맛도 있어. 이번 거는 신맛이 강해,이가 시려서 머리가 아플 수 있어,땅콩 크림이 고소해서 빵이 더 맛있는 거 같아,상큼한 크랜베리의 맛이 좋네,채소가 너무 많이 들어간 거 같은데 ..음,부드러운 바닐라의 향과 맛이 느껴져
역시 순대는 따뜻할 때 먹어야 좋아,..뜨거워서 더 매운 거 같아,비 오는 날에 어묵 국물을 마시니 좋네,고구마튀김도 좋지만 새우튀김도 맛있어,마침 목이 말랐는데 시원하니까 갈증이 해소되네,메밀차의 구수한 맛이 잘 느껴지는 거 같아,키위는 신맛도 있고 단맛도 있어. 이번 거는 단맛이 강하네,바닐라 맛은 부드럽게 먹을 수 있어서 좋아,(우물우물),견과류가 박혀 있으니 더 고소한 거 같아,(우물우물),커피 맛이 진해서 커피를 마시는 기분이야
(우물우물),어릴 때 학교 앞에서 컵으로 사서 먹었었지,어묵 모양이 다양하구나,오징어 튀김은 먹으면 자꾸 오징어만 쏙 빠져,휘핑크림이 그새 녹았어,보리가 잘 볶아진 거 같아. 보리차 향이 좋네,건강을 위해 토마토 주스를 시켰어. 생각보다 맛있네,아이스크림 안에 과일이 박혀있어,상큼하고 달콤한 블루베리 잼이 들어있어,버터 쿠키는 부드러워서 먹기 좋아,아침에 밥 대신으로 먹기에 좋아,레몬의 노란색이 잘 어울리네
양이 적당한 거 같아. 더 먹으면 배부르겠어..,생각보다 뜨거우니까 조심해서 먹어야겠어,간장에 빠뜨리지 않게 조심해야겠어,튀김이 뾰족해서 씹기 힘들 때가 있어,커피 향은 언제 맡아도 좋은 거 같아,(후후 불며 마시고 있다),채소 주스는 맛이 있는 편은 아니지만 건강에 좋아,시원하고 달콤해서 정말 좋아,새하얀 생크림이 들어있네. 부드럽고 맛있어,(오도독 쿠키 먹는 소리가 난다),계란 샌드위치에 채소가 잘게 썰려 들어가서 먹기 편한 거 같아,달콤한 향이 느껴져
염통이 쫄깃해서 좋은 거 같아,국물이 장화에 떨어지지 않게 조심해야겠어,추울 때 먹으면 좋지,바삭거리니까 과자를 씹는 기분이야,마시다가 너무 써서 시럽을 탔어. 좀 나아진 거 같네,차는 역시 따뜻해야 좋은 거 같아,딸기랑 바나나가 섞이니까 더 맛있어,커피 대신 커피 맛 아이스크림을 먹는 것도 좋지,소보루 빵은 겉이 과자처럼 바삭해서 좋아,딱딱해도 씹는 맛이 있어,토스트로 한 번 구워서 먹는 것도 좋지,(우물우물)
비 오는 날 순대를 먹으니 더 좋네,떡이 쫄깃해서 더 맛있어,(우물우물),고구마튀김은 간장에 안 찍어 먹어도 맛있지,시럽을 너무 많이 넣으면 그만큼 달아져서 커피의 맛이 느껴지지 않아,..마시다가 혀를 데였어,무엇을 마실지 모를 때는 혼합된 것이 좋지. 비타민이 가득 한 거 같아,(아이스크림이 녹고 있다),메론빵의 속은 촉촉한데 겉은 바삭하네,방금 구운 쿠키라서 그런지 안이 촉촉하네,빵에 버터의 향이 느껴지는 거 같아서 좋아,생각보다 비싸지만 그만큼 맛있는 거 같아
