big,middle,small,today,mean
불어나는 강물.. 저수지 넘쳐,김 씨네 소가 떠내려가,오늘 새벽 3시에 갑자기 불어난 강물에 저수지가 넘쳤습니다. 결국 가축들이 떠내려가 김 씨 농가에 막대한 피해를 입었습니다.,오랜 봉사활동을 거쳐 빛을 본 사람은 누군가?,심봉사
불어나는 강물.. 저수지 넘쳐,이 씨네 소가 떠내려가,오늘 새벽 4시에 갑자기 불어난 강물에 저수지가 넘쳤습니다. 결국 가축들이 떠내려가 이 씨 농가에 막대한 피해를 입었습니다.,남이 먹어야 맛있는 것은?,골탕
불어나는 강물.. 저수지 넘쳐,박 씨네 소가 떠내려가,오늘 새벽 2시에 갑자기 불어난 강물에 저수지가 넘쳤습니다. 결국 가축들이 떠내려가 박 씨 농가에 막대한 피해를 입었습니다.,형을 제일 좋아하는 사람은?,형광팬
불어나는 강물.. 저수지 넘쳐,최 씨네 소가 떠내려가,오늘 새벽 3시에 갑자기 불어난 강물에 저수지가 넘쳤습니다. 결국 가축들이 떠내려가 최 씨 농가에 막대한 피해를 입었습니다.,펭귄이 다니는 고등학교는?,냉장고
불어나는 강물.. 저수지 넘쳐,오 씨네 소가 떠내려가,오늘 새벽 4시에 갑자기 불어난 강물에 저수지가 넘쳤습니다. 결국 가축들이 떠내려가 오 씨 농가에 막대한 피해를 입었습니다.,쥐가 네 마리 모였다를 두자로 압축하면 ?,쥐포
김모 양 이모 군 1년째 열애 중,많은 관심은 부담,요즘 한창 인기 있는 김모 양(29세)과 이모 군(29세)이 1년째 열애 중인 것으로 밝혀졌으며 결혼을 전제로 사귀고 있었습니다.,개가 사람을 가르친다 를 4자로 줄이면?,개인지도
이모 양 김모 군 1년째 열애 중,많은 관심은 부담,요즘 한창 인기 있는 이모 양(30세)과 김모 군(30세)이 1년째 열애 중인 것으로 밝혀졌으며 결혼을 전제로 사귀고 있었습니다.,아홉명의 자식을 세자로 줄이면?,아이구
박모 양 김모 군 2년째 열애 중,많은 관심은 부담,요즘 한창 인기 있는 박모 양(31세)과 김모 군(31세)이 2년째 열애 중인 것으로 밝혀졌으며 결혼을 전제로 사귀고 있었습니다.,타이타닉의 구명 보트에는 몇 명이 탈수 있을까?,9명
김모 양 박모 군 6개월째 열애 중,주변 사람들 눈치 못 채,요즘 한창 인기 있는 김모 양(25세)과 박모 군(26세)이 6개월째 열애 중인 것으로 밝혀졌습니다.,금은 금인데 고양이에게 가장 어울리는 금은?,야금야금
나모 양 최모 군 4개월째 열애 중,주변 사람들 눈치 못 채,요즘 한창 인기 있는 나모 양(24세)과 최모 군(22세)이 4개월째 열애 중인 것으로 밝혀졌습니다.,고기 먹을 때마다 따라오는 개는?,이쑤시개
최모 양 김모 군 3개월째 열애 중,주변 사람들 눈치 못 채,요즘 한창 인기 있는 최모 양(28세)과 김모 군(27세)이 3개월째 열애 중인 것으로 밝혀졌습니다.,별 중에 가장 슬픈 별은?,이별
김모 양 최모 군 5개월째 열애 중,주변 사람들 눈치 못 채,요즘 한창 인기 있는 김모 양(29세)과 최모 군(30세)이 5개월째 열애 중인 것으로 밝혀졌습니다.,진짜 새의 이름은 무엇일까?,참새
우산 대교 침수,높아지는 수위가 원인,아침부터 내린 비의 영향으로 우산 대교의 지하 수위가 높아져 침수되었습니다. 이로 인해 아침 출근길 교통 상황이 혼잡해졌습니다.,사람의 몸무게가 가장 많이 나갈 때는?,철들 때
우비 대교 침수,높아지는 수위가 원인,새벽부터 내린 비의 영향으로 우비 대교의 지하 수위가 높아져 침수되었습니다. 이로 인해 아침 출근길 교통 상황이 혼잡해졌습니다.,소가 웃으면?,우하하
벼락 대교 침수,높아지는 수위가 원인,아침부터 내린 비의 영향으로 벼락 대교의 지하 수위가 높아져 침수되었습니다. 이로 인해 아침 출근길 교통 상황이 혼잡해졌습니다.,왕이 넘어지면 뭐가 될까?,킹콩
구름 대교 침수,높아지는 수위가 원인,새벽부터 내린 비의 영향으로 구름 대교의 지하 수위가 높아져 침수되었습니다. 이로 인해 아침 출근길 교통 상황이 혼잡해졌습니다.,라면은 라면인데 달콤한 라면은?,그대와 함께라면
우수 대교 침수,높아지는 수위가 원인,어제부터 내린 비의 영향으로 우수 대교의 지하 수위가 높아져 침수되었습니다. 이로 인해 아침 출근길 교통 상황이 혼잡해졌습니다.,겨울에 많이 쓰는 끈은?,따끈따끈
폭우 대교 침수,높아지는 수위가 원인,종일 내린 비의 영향으로 폭우 대교의 지하 수위가 높아져 침수되었습니다. 이로 인해 저녁 퇴근길 교통 상황이 혼잡해졌습니다.,진짜 문제투성이인 것은?,시험지
폭풍 대교 침수,높아지는 수위가 원인,종일 내린 비의 영향으로 폭풍 대교의 지하 수위가 높아져 침수되었습니다. 이로 인해 저녁 퇴근길 교통 상황이 혼잡해졌습니다.,사람이 일생동안 가장 많이 하는 소리는?,숨소리
이슬 대교 침수,높아지는 수위가 원인,종일 내린 비의 영향으로 이슬 대교의 지하 수위가 높아져 침수되었습니다. 이로 인해 저녁 퇴근길 교통 상황이 혼잡해졌습니다.,눈이 녹으면 뭐가 될까?,눈물
수우 대교 침수,높아지는 수위가 원인,갑작스레 내린 비의 영향으로 수우 대교의 지하 수위가 높아져 침수되었습니다. 이로 인해 저녁 퇴근길 교통 상황이 혼잡해졌습니다.,귀는 귀인데 못 듣는 귀는?,뼈다귀
