index,book,wall,light,window,seed,picture,clock,turtle
1,집 앞에 붙어있던 전단지들이야. 그냥 보려고 모아놨어,천장에 물이 새는 거 같아. 비가 오는데 적어도 물 새는 건 막아야 하지 않을까?,전구가 깨져서 자꾸 깜빡거리니까 눈이 아픈걸. 깨져서 감전되지 않을까 걱정이야,깨진 창문 때문에 빗물이 창문의 깨진 틈으로 들어오고 있어. 그리고 추워,사긴 샀는데 어떻게 해야 할지 모르겠네 ..음,우울한 그림이야,시계에 금이 가 있어,이 거북이는 외로워 보여
2,몇 개월 전의 신문이야. 외울 정도로 많이 봤어,보수하고 나니까 이제 내 머리 위에 물이 떨어지지 않아. 하지만 색이 너무 칙칙한 거 같아,깨진 전구를 고친 건 좋은데 왜 불이 켜지지 않는 걸까 음..,신문지로 보수된 창문은 바람이 불면 날아가,밖에서 스티로폼 상자를 주워왔어. 흙도 좀 넣고 물도 줬지,어디로 가는 걸까,네모 반듯한 거로 수리해왔어. 나쁘지 않아,저번에 거북이가 내 발을 물어뜯었어
3,찢어진 잡지를 중고서적에 가서 구매했어. 1년 전 트렌드가 실려있어,보이진 않지만 천장도 도배했어. 벽이 더 밝아져서 좋은 거 같아,전등이 안정감 있게 비춰줘서 좋은 거 같아. 덕분에 바닥에 있는 벌레를 잘 볼 수가 있어,테이프로 창문을 보수했지만 자동차가 지나갈 때마다 덜컹거려,강가에 떠내려가는 나무상자를 주워왔어. 눅눅하지만 튼튼할 거야 ..아마도,무언가를 찾은 거 같아,역시 시계는 둥근 것이 좋은 거 같아,이 거북이는 언제든지 집에 들어갈 수 있어서 부러워
4,위인전을 봤는데 나도 이런 위대한 사람이 될 수 있을까?,공란,도시에서 새로운 전등을 사 왔어,안정된 창문으로 바꾸니까 이제 좀 살만한 거 같아,상자가 너무 커서 페트병을 오려 만들었어. 언제쯤 자라날지 궁금해,안에 무언가가 있어. 무엇일까,여기에 쓰인 나무는 얼마나 오랜 세월을 보냈을까,혼자서 잘도 움직이네
5,요리책을 보니 세상에는 다양한 음식이 있구나 하고 생각했어. 먹어보고 싶다,공란,깔끔한 블랙으로 바꿔보았어. 멋진 거 같아,기분전환 겸 문방구에 가서 스티커를 샀었어. 창문에 붙이니 좀 나은 거 같아,안정감 있는 네모난 우유갑이 좋은 거 같아. 걱정 마 냄새는 안 나니까. 개인적으로 나는 초코우유를 좋아해,뭔가를 기다리고 있어. 천천히,작게 새겨진 문양이 나무의 멋스러움을 더해주는 거 같아,(거북이가 천천히 지나가고 있다)
6,동화책을 읽었는데 어릴 때 희미하게 본 기억이 나. 주인공은 언제나 해피엔딩이지만,공란,전등이 예전보다 많이 좋아졌어. 마음에 들어,스티커를 더 붙여봤는데 어때? 괜찮은 거 같아,집에서 안 쓰는 유리잔을 찾았어. 마실 것이라도 대접하고 싶지만 아무도 찾아오지 않으니까 ...너 빼고,꽃이 피어났어. 놀란 거 같아,공란,이 거북이는 외로워 보여
7,유머책은 삶의 즐거움을 위해 사봤어. 딱히 재밌진 않지만,공란,공란,언제 햇빛이 들어올지 몰라서 커튼을 달아봤어 바람에 휘날리면 볼만해,역시 꽃은 꽃병에 담아두었을 때가 제일 아름다운 거 같아. 어떤 꽃이 피어날지 조금 기대가 되네,서로 인사하는 걸까. 손을 뻗고 있어,공란,저번에 거북이가 내 발을 물어뜯었어
8,만화책을 큰맘 먹고 전권 다 샀어. 이 작가가 다시 연재해 줬으면 좋겠어,공란,공란,커튼 색이 칙칙해서 한 톤 높은 거로 바꿔봤어. 보기 좋아,하루가 다르게 성장하고 있어. 그리고 곧 있으면 피어나겠지. 내 마음속에 장마도 구름이 개어나 꽃들이 피어났으면 좋겠어,꽃내음을 맡으며 무슨 생각을 하고 있을까,공란,이 거북이는 언제든지 집에 들어갈 수 있어서 부러워
9,소설 중에 주인공이 부모님과 다시 만나는 장면은 정말 감동적이었어,공란,공란,커튼에 무늬가 있으니까 방에 생기가 도는 거 같아. 색깔도 마음대로 바꿀 수 있어서 좋고,꾸준히 관심을 가져주니 내게 보답을 해줬어. 솔직히 이런 날씨에 꽃이 피어나는 건 생각도 못 했지만 하루하루 물을 주며 조금씩 성장했지. 고마워 덕분에 아름다운 꽃을 볼 수 있게 되었어,마지막에는 꽃과 친구가 된 거 같아서 행복해 보여,공란,혼자서 잘도 움직이네
10,책장이 있으니 이제 바닥에 책을 두지 않아도 돼서 좋아,공란,공란,공란,공란,공란,공란,(거북이가 천천히 지나가고 있다)
