index,book,wall,light,window,seed,picture,clock,turtle
1,집/ /앞/에/ /붙/어/있/던/ /전/단/지/들/이/야/./ /그/냥/ /보/려/고/ /모/아/놨/어,천/장/에/ /물/이/ /새/는/ /거/ /같/아/. /비/가/ /오/는/데/ /적/어/도/ /물/ /새/는/ /건/ /막/아/야/ /하/지/ /않/을/까/?,전/구/가/ /깨/져/서/ /자/꾸/ /깜/빡/거/리/니/까/ 눈/이/ /아/픈/걸/./ /깨/져/서/ /감/전/되/지/ /않/을/까/ /걱/정/이/야,깨/진/ /창/문/ /때/문/에/ /빗/물/이/ /창/문/의/ /깨/진/ /틈/으/로/ /들/어/오/고/ /있/어/./ /그/리/고/ /추/워/,사/긴/ /샀/는/데/ /어/떻/게/ /해/야/ /할/지/ /모/르/겠/네/ /././음,우/울/한/ /그/림/이/야,시/계/에/ /금/이/ /가/ /있/어,이/ /거/북/이/는/ /외/로/워/ /보/여
2,몇/ /개/월/ /전/의/ /신/문/이/야/./ /외/울/ /정/도/로/ /많/이/ /봤/어,보/수/하/고/ /나/니/까/ /이/제/ /내/ /머/리/ /위/에/ /물/이/ /떨/어/지/지/ /않/아./ /하/지/만/ /색/이/ /너/무/ /칙/칙/한/ /거/ /같/아,깨/진/ /전/구/를/ /고/친/ /건/ /좋/은/데/ /왜/ /불/이/ /켜/지/지/ /않/는/ /걸/까/ /음/./.,신/문/지/로/ 보/수/된/ /창/문/은/ /바/람/이/ /불/면/ /날/아/가/,밖/에/서/ /스/티/로/폼/ /상/자/를/ /주/워/왔어/./ /흙/도/ /좀/ /넣/고/ /물/도/ /줬/지,어/디/로/ /가/는/ /걸/까,네/모/ /반/듯/한/ /거/로/ /수/리/해/왔/어/./ /나/쁘/지/ /않/아,저/번/에/ /거/북/이/가/ /내/ /발/을/ /물/어/뜯/었/어
3,찢/어/진/ /잡/지/를/ /중/고/서/적/에/ /가/서/ /구/매/했/어/./ /1/년/ /전/ /트/렌/드/가/ /실/려/있/어/,보/이/진/ /않/지/만/ /천/장/도/ /도/배/했/어/./ /벽/이/ /더/ 밝/아/져/서/ /좋/은/ /거/ /같/아,전/등/이/ /안/정/감/ /있/게/ /비/춰/줘/서/ /좋/은/ /거/ /같/아/. /덕/분/에/ /바/닥/에/ /있/는/ /벌/레/를/ /잘/ /볼/ /수/가/ /있/어,테/이/프/로/ 창/문/을/ /보/수/했/지/만/ /자/동/차/가/ /지/나/갈/ /때/마/다/ /덜/컹/거/려,강/가/에/ /떠/내/려/가/는/ /나/무/상/자/를/ /주/워/왔/어/./ /눅/눅/하/지/만/ /튼/튼/할/ /거/야/ /././아/마/도,무/언/가/를/ /찾/은/ /거/ /같/아,역/시/ /시/계/는/ /둥/근/ /것/이/ /좋/은/ /거/ /같/아,이/ /거/북/이/는/ /언/제/든/지/ /집/에/ /들/어/갈/ /수/ /있/어/서/ /부/러/워
4,위/인/전/을/ /봤/는/데/ /나/도/ /이/런/ /위/대/한/ /사/람/이/ /될/ /수/ /있/을/까/?,공란,도/시/에/서/ 새/로/운/ /전/등/을/ /사/ /왔/어,안/정/된/ /창/문/으/로/ /바/꾸/니/까/ /이/제/ /좀/ /살/만/한/ /거/ /같/아,상/자/가/ /너/무/ /커/서/ /페/트/병/을/ /오/려/ /만/들/었/어/./ /언/제/쯤/ /자/라/날/지/ /궁/금/해,안/에/ /무/언/가/가/ /있/어/./ /무/엇/일/까,여/기/에/ /쓰/인/ /나/무/는/ /얼/마/나/ /오/랜/ /세/월/을/ /보/냈/을/까,혼/자/서/ /잘/도/ /움/직/이/네
5,요/리/책/을/ /보/니/ /세/상/에/는/ /다/양/한/ /음/식/이/ /있/구/나/ /하/고/ /생/각/했/어./ /먹/어/보/고/ /싶/다,공란,깔/끔/한/ /블/랙/으/로/ /바/꿔/보/았/어/./ /멋/진/ /거/ /같/아,기/분/전/환/ /겸/ /문/방/구/에/ /가/서/ /스/티/커/를/ /샀/었/어/./ /창/문/에/ /붙/이/니/ /좀/ /나/은/ /거/ /같/아,안/정/감/ /있/는/ /네/모/난/ /우/유/갑/이/ /좋/은/ /거/ /같/아/./ /걱/정/ /마/ /냄/새/는/ /안/ /나/니/까/./ /개/인/적/으/로/ /나/는/ /초/코/우/유/를/ /좋/아/해,뭔/가/를/ /기/다/리/고/ /있/어/./ /천/천/히,작게/ /새/겨/진/ /문/양/이/ /나/무/의/ /멋/스/러/움/을/ /더/해/주/는/ /거/ /같/아,(/거/북/이/가/ /천/천/히/ /지/나/가/고/ /있/다/)
6,동/화/책/을/ /읽/었/는/데/ /어/릴/ /때/ /희/미/하/게/ /본/ /기/억/이/ /나/./ /주/인/공/은/ /언/제/나/ /해/피/엔/딩/이/지/만,공란,전/등/이/ /예/전/보/다/ /많/이/ /좋/아/졌/어/./ /마/음/에/ /들/어,스/티/커/를/ /더/ /붙/여/봤/는/데/ /어/때/?/ /괜/찮/은/ /거/ /같/아/,집/에/서/ /안/ /쓰/는/ /유/리/잔/을/ /찾/았/어/./ /마/실/ /것/이/라/도/ /대/접/하/고/ /싶/지/만/ /아/무/도/ /찾/아/오/지/ /않/으/니/까/ ////.////./////./////너/ /빼/고,꽃/이/ /피/어/났/어/./ /놀/란/ /거/ /같/아,공란,이/ /거/북/이/는/ /외/로/워/ /보/여
7,유/머/책/은/ /삶/의/ /즐/거/움/을/ /위/해/ /사/봤/어/./ /딱/히/ /재/밌/진/ /않/지/만,공란,공란,언/제/ /햇/빛/이/ /들/어/올/지/ /몰/라/서/ /커/튼/을/ /달/아/봤/어/ /바/람/에/ /휘/날/리/면/ /볼/만/해,역/시/ /꽃/은/ /꽃/병/에/ /담/아/두/었/을/ /때/가/ /제/일/ /아/름/다/운/ /거/ /같/아/./ /어/떤/ /꽃/이/ /피/어/날/지/ /조/금/ /기/대/가/ /되/네/,서/로/ /인/사/하/는/ /걸/까/./ /손/을/ /뻗/고/ /있/어,공란,저/번/에/ /거/북/이/가/ /내/ /발/을/ /물/어/뜯/었/어
8,만/화/책/을/ /큰/맘/ /먹/고/ /전/권/ /다/ /샀/어/./ /이/ /작/가/가/ /다/시/ /연/재/해/ /줬/으/면/ /좋/겠/어,공란,공란,커/튼/ /색/이/ 칙/칙/해/서/ /한/ /톤/ /높/은/ /거/로/ /바/꿔/봤/어/./ /보/기/ /좋/아,하/루/가/ /다/르/게/ /성/장/하/고/ /있/어/./ /그/리/고/ /곧/ /있/으/면/ /피/어/나/겠/지/./ /내/ /마/음/속/에/ /장/마/도/ /구/름/이/ /개/어/나/ /꽃/들/이/ /피/어/났/으/면/ /좋/겠/어,꽃/내/음/을/ /맡/으/며/ /무/슨/ /생/각/을/ /하/고/ /있/을/까,공란,이/ /거/북/이/는/ /언/제/든/지/ /집/에/ /들/어/갈/ /수/ /있/어/서/ /부/러/워
9,소/설/ /중/에/ /주/인/공/이/ /부/모/님/과/ /다/시/ /만/나/는/ /장/면/은/ /정/말/ /감/동/적/이/었/어,공란,공란,커/튼/에/ /무/늬/가/ /있/으/니/까/ /방/에/ /생/기/가/ /도/는/ /거/ /같/아/./ /색/깔/도/ /마/음/대/로/ /바/꿀/ /수/ /있/어/서/ /좋/고,꾸/준/히 /관/심/을 /가/져/주/니 /내/게 /보/답/을 /해/줬/어/. /솔/직/히 /이/런 /날/씨/에 /꽃/이 /피/어/나/는 /건 /생/각/도 /못 /했/지/만 /하/루/하/루 /물/을 /주/며 /조/금/씩 /성/장/했/지/. /고/마/워 /덕/분/에 /아/름/다/운 /꽃/을 /볼 /수 /있/게 /되/었/어,마/지/막/에/는/ /꽃/과/ /친/구/가/ /된/ /거/ /같/아/서/ /행/복/해/ /보/여,공란,혼/자/서/ /잘/도/ /움/직/이/네
10,책/장/이/ /있/으/니/ /이/제/ /바/닥/에/ /책/을/ /두/지/ /않/아/도/ /돼/서/ /좋/아,공란,공란,공란,공란,공란,공란,(/거/북/이/가/ /천/천/히/ /지/나/가/고/ /있/다/)
