index,cat,trash
1,발바닥을 살짝 만져 봤는데 엄청 말랑말랑하고 부드러웠어,필요한 것을 버릴 때도 있지. 이유는 모르지만
2,이 고양이는 정말 여유로워 보여,쓸모없다고 생각하는 것이 언젠가 쓸 수 있다고 알게 된다면 버린 것을 후회하겠지
3,고양이가 눈을 뜨고 있는 걸 본 적이 없는 거 같아,쓰레기는 쓰레기통에 버려야 해. 길바닥에 말고
4,털이 정말 깨끗해 보여. 열심히 털을 정리한 거 같아,재활용 쓰레기는 리폼해서 이용할 수 있어
5,고양이가 나른하고 졸려 보이네,쓰레기통이 별로 튼튼해 보이지 않아
6,발가락을 꼼지락거리고 있어. 간지러운 걸까,비 때문에 그런지 통이 더러워 보이진 않네
7,고양이의 표정이 만족스러워 보여,봉사활동을 하면 쓰레기 줍는 일을 할 수 있어. 언제 한번 해보고 싶어
8,꼬리를 살랑살랑 흔들고 있어,젖은 쓰레기는 힘이 없어 보여. 자신이 이제 쓸모없다는 것을 아는 걸까
9,고양이가 이따금 고로롱거리는 소리를 내,(바람이 불어 비닐봉지가 날아가고 있다)
10,귀가 쫑긋거리는 걸 보면 빗소리 듣는 것을 좋아하는 거 같아,얼마나 많은 쓰레기가 배출되고 있을까. 상상할 수 없을 정도로 많겠지
11,야옹 ....그냥 고양이 소리를 내봤어,쓰레기통에 맞은 물방울이 나한테 튀는 거 같아
12,저번에 고양이가 무릎 위에 올라왔었어. 생각보다 따듯하더라,(바람이 불어 휴지가 굴러가고 있다)
13,고양이랑 던지고 물어오기 놀이를 시도했었어. 하지만 별로 흥미가 없나 봐,휴지를 다 주우면 ..음
14,저기서 비를 피하고 있는 모양이야,아무 데나 쓰레기를 버리지 않도록 하는 습관을 지니는 게 좋아
15,코가 살짝 씰룩였어. 비 냄새를 맡는 걸까,쓰레기가 줄어드는 날이 올까
16,방금 전에 고양이가 기지개를 켰어,쓰레기가 줄어드는 날이 올까
17,이 고양이는 정말 가끔 소리를 내,공란
18,이 고양이의 집은 어디일까. 어쩌면 여기라고 생각하는지도 모르겠어,공란
19,방금 고양이가 야옹 하고 울었어,공란
20,여유로운 모습을 보니 부럽기도 해,공란
21,무슨 생각을 하고 있을까 ..궁금하네,공란
